taxid	species	genus	family	order	class	phylum	kingdom	superkingdom	count
374847	Candidatus Korarchaeum cryptofilum 	Candidatus Korarchaeum 	NA 	NA 	NA 	Candidatus Korarchaeota 	NA 	Archaea	284
662761	Candidatus Parvarchaeum acidophilus 	Candidatus Parvarchaeum 	NA 	NA 	NA 	Candidatus Parvarchaeota 	NA 	Archaea	1
28889	NA 	NA 	NA 	NA 	NA 	Crenarchaeota 	NA 	Archaea	57
666510	Acidilobus saccharovorans 	Acidilobus 	Acidilobaceae 	Acidilobales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	232
1056495	Caldisphaera lagunensis 	Caldisphaera 	Caldisphaeraceae 	Acidilobales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	248
272557	Aeropyrum pernix 	Aeropyrum 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	674
490899	Desulfurococcus amylolyticus 	Desulfurococcus 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	247
453591	Ignicoccus hospitalis 	Ignicoccus 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	344
583356	Ignisphaera aggregans 	Ignisphaera 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	296
399550	Staphylothermus marinus 	Staphylothermus 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	375
1184251	Thermogladius calderae 	Thermogladius 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	237
633148	Thermosphaera aggregans 	Thermosphaera 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	218
415426	Hyperthermus butylicus 	Hyperthermus 	Pyrodictiaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	381
2309	Pyrodictium occultum 	Pyrodictium 	Pyrodictiaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	4
694429	Pyrolobus fumarii 	Pyrolobus 	Pyrodictiaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	267
1163730	Fervidicoccus fontis 	Fervidicoccus 	Fervidicoccaceae 	Fervidicoccales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	253
