taxid	species	genus	family	order	class	phylum	kingdom	superkingdom	count
374847	Candidatus Korarchaeum cryptofilum 	Candidatus Korarchaeum 	NA 	NA 	NA 	Candidatus Korarchaeota 	NA 	Archaea	1602
662761	Candidatus Parvarchaeum acidophilus 	Candidatus Parvarchaeum 	NA 	NA 	NA 	Candidatus Parvarchaeota 	NA 	Archaea	1002
28889	NA 	NA 	NA 	NA 	NA 	Crenarchaeota 	NA 	Archaea	37074
666510	Acidilobus saccharovorans 	Acidilobus 	Acidilobaceae 	Acidilobales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1499
1056495	Caldisphaera lagunensis 	Caldisphaera 	Caldisphaeraceae 	Acidilobales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1477
272557	Aeropyrum pernix 	Aeropyrum 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1698
490899	Desulfurococcus amylolyticus 	Desulfurococcus 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1470
453591	Ignicoccus hospitalis 	Ignicoccus 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1434
583356	Ignisphaera aggregans 	Ignisphaera 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1929
399550	Staphylothermus marinus 	Staphylothermus 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1570
1184251	Thermogladius calderae 	Thermogladius 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1414
633148	Thermosphaera aggregans 	Thermosphaera 	Desulfurococcaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1387
415426	Hyperthermus butylicus 	Hyperthermus 	Pyrodictiaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1602
2309	Pyrodictium occultum 	Pyrodictium 	Pyrodictiaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1602
694429	Pyrolobus fumarii 	Pyrolobus 	Pyrodictiaceae 	Desulfurococcales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1967
1163730	Fervidicoccus fontis 	Fervidicoccus 	Fervidicoccaceae 	Fervidicoccales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1384
933801	Acidianus hospitalis 	Acidianus 	Sulfolobaceae 	Sulfolobales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	2329
399549	Metallosphaera sedula 	Metallosphaera 	Sulfolobaceae 	Sulfolobales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	2256
273057	Saccharolobus solfataricus 	Saccharolobus 	Sulfolobaceae 	Sulfolobales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	2938
330779	Sulfolobus acidocaldarius 	Sulfolobus 	Sulfolobaceae 	Sulfolobales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	2221
273063	Sulfurisphaera tokodaii 	Sulfurisphaera 	Sulfolobaceae 	Sulfolobales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	2805
368408	Thermofilum pendens 	Thermofilum 	Thermofilaceae 	Thermoproteales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1876
397948	Caldivirga maquilingensis 	Caldivirga 	Thermoproteaceae 	Thermoproteales 	Thermoprotei 	Crenarchaeota 	NA 	Archaea	1962
