ID	code	seed_count	full_count	Species	Genus	Family	Order	Class	Phylum	Kingdom	Superkingdom
6047	GEOCY	2	0	Geodia cydonium	Geodia	Geodiidae	Tetractinellida	Demospongiae	Porifera	Metazoa	Eukaryota
6073	9CNID	8	34959	NA	NA	NA	NA	NA	Cnidaria	Metazoa	Eukaryota
6082	HYDVD	3	0	Hydra viridissima	Hydra	Hydridae	Anthoathecata	Hydrozoa	Cnidaria	Metazoa	Eukaryota
6087	HYDVU	14	0	Hydra vulgaris	Hydra	Hydridae	Anthoathecata	Hydrozoa	Cnidaria	Metazoa	Eukaryota
6091	POLPE	7	0	Polyorchis penicillatus	Polyorchis	Polyorchidae	Anthoathecata	Hydrozoa	Cnidaria	Metazoa	Eukaryota
6096	PODCA	3	0	Podocoryna carnea	Podocoryna	Hydractiniidae	Anthoathecata	Hydrozoa	Cnidaria	Metazoa	Eukaryota
6106	ACTEQ	5	0	Actinia equina	Actinia	Actiniidae	Actiniaria	Anthozoa	Cnidaria	Metazoa	Eukaryota
6108	ANESU	5	0	Anemonia sulcata	Anemonia	Actiniidae	Actiniaria	Anthozoa	Cnidaria	Metazoa	Eukaryota
6110	ANTEL	9	0	Anthopleura elegantissima	Anthopleura	Actiniidae	Actiniaria	Anthozoa	Cnidaria	Metazoa	Eukaryota
6111	ANTFU	1	0	Anthopleura fuscoviridis	Anthopleura	Actiniidae	Actiniaria	Anthozoa	Cnidaria	Metazoa	Eukaryota
6112	ANTXA	2	0	Anthopleura xanthogrammica	Anthopleura	Actiniidae	Actiniaria	Anthozoa	Cnidaria	Metazoa	Eukaryota
6114	CALPA	5	0	Calliactis parasitica	Calliactis	Hormathiidae	Actiniaria	Anthozoa	Cnidaria	Metazoa	Eukaryota
6118	ENTQU	1	0	Entacmaea quadricolor	Entacmaea	Actiniidae	Actiniaria	Anthozoa	Cnidaria	Metazoa	Eukaryota
6123	STIHL	6	0	Stichodactyla helianthus	Stichodactyla	Stichodactylidae	Actiniaria	Anthozoa	Cnidaria	Metazoa	Eukaryota
6135	RENKO	3	0	Renilla koellikeri	Renilla	Renillidae	Pennatulacea	Anthozoa	Cnidaria	Metazoa	Eukaryota
6136	RENRE	9	0	Renilla reniformis	Renilla	Renillidae	Pennatulacea	Anthozoa	Cnidaria	Metazoa	Eukaryota
6157	9PLAT	16	57421	NA	NA	NA	NA	NA	Platyhelminthes	Metazoa	Eukaryota
6161	DUGJA	3	0	Dugesia japonica	Dugesia	Dugesiidae	Tricladida	Rhabditophora	Platyhelminthes	Metazoa	Eukaryota
6178	9TREM	68	45101	NA	NA	NA	NA	Trematoda	Platyhelminthes	Metazoa	Eukaryota
6182	SCHJA	76	0	Schistosoma japonicum	Schistosoma	Schistosomatidae	Strigeidida	Trematoda	Platyhelminthes	Metazoa	Eukaryota
6183	SCHMA	552	9472	Schistosoma mansoni	Schistosoma	Schistosomatidae	Strigeidida	Trematoda	Platyhelminthes	Metazoa	Eukaryota
6185	SCHHA	1	0	Schistosoma haematobium	Schistosoma	Schistosomatidae	Strigeidida	Trematoda	Platyhelminthes	Metazoa	Eukaryota
6192	FASHE	5	0	Fasciola hepatica	Fasciola	Fasciolidae	Plagiorchiida	Trematoda	Platyhelminthes	Metazoa	Eukaryota
