#Dataset	Domain	Init_seqs_with_domain	Num_domains_in_init	Rev_seqs_with_domain	Num_base_domains_in_rev	Num_rev_domains_in_rev
Acalifornica_genome_proteins	RHD_DNA_bind	5	5	5	1	4
Ajaponicus_genome_proteins	RHD_DNA_bind	4	4	4	1	3
Aplanci_proteome	RHD_DNA_bind	10	10	10	0	10
Aqueenslandica_genome_protiens	RHD_DNA_bind	2	2	2	0	2
Bblecheri_genome_protein	RHD_DNA_bind	7	7	7	3	4
Bfloridae_genome_proteins	RHD_DNA_bind	2	2	2	1	1
Bschlosseri_genome_proteins	RHD_DNA_bind	4	4	5	1	4
Celegans_genome_proteins	RHD_DNA_bind	0	0	0	0	0
Cintestinalis_genome_proteins	RHD_DNA_bind	7	7	7	4	3
Cmilii_genome_proteins	RHD_DNA_bind	16	16	16	4	12
Cteleta_genome_proteins	RHD_DNA_bind	3	3	3	1	2
Cvirginica_genome_proteins	RHD_DNA_bind	7	7	9	1	8
Dmelanogaster_genome_proteins	RHD_DNA_bind	21	21	21	14	7
Dpulex_genome_proteins	RHD_DNA_bind	4	4	4	1	3
Drerio_genome_proteins	RHD_DNA_bind	29	29	29	10	19
Eburgeri_genome_proteins	RHD_DNA_bind	27	27	28	10	18
Hdujardini_genome_proteins	RHD_DNA_bind	4	4	4	0	4
Hmiamia_genome_cds	RHD_DNA_bind	3	3	5	0	5
Hrobusta_genome_proteins	RHD_DNA_bind	4	4	4	1	3
Hsapiens_genome_proteins	RHD_DNA_bind	82	82	82	28	54
Hvulgaris_genome_proteins	RHD_DNA_bind	3	3	3	0	3
Lanatina_genome_proteins	RHD_DNA_bind	3	4	3	1	3
Lchalumnae_genome_proteins	RHD_DNA_bind	24	24	24	7	17
Lpolyphemus_genome_proteins	RHD_DNA_bind	27	27	28	8	20
Lvariegatus_genome_proteins	RHD_DNA_bind	3	3	3	0	3
Mleidyi_genome_proteins	RHD_DNA_bind	0	0	0	0	0
Ngeniculatus_genome_proteins	RHD_DNA_bind	4	4	4	1	3
Nvectensis_genome_proteins	RHD_DNA_bind	3	3	3	0	3
Odioica_genome_proteins	RHD_DNA_bind	2	2	2	0	2
Ovulgaris_genome_proteins	RHD_DNA_bind	4	4	4	1	3
Paustralis_genome_proteins	RHD_DNA_bind	4	4	4	1	3
Pflava_genome_proteins	RHD_DNA_bind	4	4	5	1	4
Pmarinus_genome_proteins	RHD_DNA_bind	8	8	10	4	6
Pminiata_proteins	RHD_DNA_bind	7	7	7	2	6
Scalifornicum_genome_proteins	RHD_DNA_bind	7	7	7	1	6
Skowalevskii_genome_proteins	RHD_DNA_bind	6	6	6	0	6
Smediterranea_genome_cds	RHD_DNA_bind	5	5	5	0	5
Spurpuratus_genome_proteins5	RHD_DNA_bind	9	9	9	3	6
Tadhaerens_genome_proteins	RHD_DNA_bind	0	0	0	0	0
Acalifornica_genome_proteins	IRF	7	7	7	0	7
Ajaponicus_genome_proteins	IRF	3	3	3	0	3
Aplanci_proteome	IRF	6	6	6	0	6
Aqueenslandica_genome_protiens	IRF	3	3	3	0	3
Bblecheri_genome_protein	IRF	16	16	16	3	13
Bfloridae_genome_proteins	IRF	10	10	10	1	9
Bschlosseri_genome_proteins	IRF	8	8	8	0	8
Celegans_genome_proteins	IRF	0	0	0	0	0
Cintestinalis_genome_proteins	IRF	15	15	15	3	12
Cmilii_genome_proteins	IRF	16	16	16	11	5
Cteleta_genome_proteins	IRF	3	3	3	0	3
Cvirginica_genome_proteins	IRF	10	10	10	0	10
